,precision,recall,f1-score,support
0.0,0.9971126082771896,0.9857278782112274,0.9913875598086125,1051.0
1.0,0.8387096774193549,0.9629629629629629,0.896551724137931,81.0
accuracy,0.9840989399293286,0.9840989399293286,0.9840989399293286,0.9840989399293286
macro avg,0.9179111428482722,0.9743454205870952,0.9439696419732717,1132.0
weighted avg,0.985778122941956,0.9840989399293286,0.9846016033692792,1132.0
